,Unnamed: 0,Map Name,Matchup,patch,Wins,Losses,Games,win_perc,loss_perc,pillar_label
178,36,Acid Plant LE,PvZ,4.1.4,2745,2982,5727,0.4793,0.5207,Pillar can see natural entrance
179,39,Acid Plant LE,TvZ,4.1.4,3207,3198,6405,0.5007,0.4993,Pillar can see natural entrance
180,55,Ascension to Aiur LE,PvT,4.1.4,1,0,1,1.0,0.0,Pillar cannot see natural entrance
181,60,Ascension to Aiur LE,PvZ,4.1.4,1,1,2,0.5,0.5,Pillar cannot see natural entrance
182,65,Ascension to Aiur LE,TvZ,4.1.4,0,4,4,0.0,1.0,Pillar cannot see natural entrance
183,72,Backwater LE,PvT,4.1.4,2693,2387,5080,0.5301,0.4699,No pillar
184,75,Backwater LE,PvZ,4.1.4,2634,2939,5573,0.4726,0.5274,No pillar
185,78,Backwater LE,TvZ,4.1.4,3093,3082,6175,0.5009,0.4991,No pillar
186,98,Blackpink LE,PvT,4.1.4,2820,2376,5196,0.5427,0.4573,Pillar can see natural entrance
187,103,Blackpink LE,PvZ,4.1.4,2667,2957,5624,0.4742,0.5258,Pillar can see natural entrance
188,108,Blackpink LE,TvZ,4.1.4,3065,2895,5960,0.5143,0.4857,Pillar can see natural entrance
189,134,Catalyst LE,PvT,4.1.4,2769,2534,5303,0.5222,0.4778,Pillar can see natural entrance
190,139,Catalyst LE,PvZ,4.1.4,2748,3024,5772,0.4761,0.5239,Pillar can see natural entrance
191,144,Catalyst LE,TvZ,4.1.4,3310,3087,6397,0.5174,0.4826,Pillar can see natural entrance
192,183,Eastwatch LE,PvT,4.1.4,2183,1930,4113,0.5308,0.4692,Pillar can see natural entrance
193,186,Eastwatch LE,PvZ,4.1.4,2160,2504,4664,0.4631,0.5369,Pillar can see natural entrance
194,189,Eastwatch LE,TvZ,4.1.4,2532,2456,4988,0.5076,0.4924,Pillar can see natural entrance
195,278,Neon Violet Square LE,PvT,4.1.4,1692,1541,3233,0.5234,0.4766,No pillar
196,283,Neon Violet Square LE,PvZ,4.1.4,1578,1727,3305,0.4775,0.5225,No pillar
197,288,Neon Violet Square LE,TvZ,4.1.4,1695,1756,3451,0.4912,0.5088,No pillar
198,319,Odyssey LE,PvT,4.1.4,1,0,1,1.0,0.0,Pillar can see natural entrance
199,324,Odyssey LE,PvZ,4.1.4,1,1,2,0.5,0.5,Pillar can see natural entrance
200,329,Odyssey LE,TvZ,4.1.4,1,2,3,0.3333,0.6667,Pillar can see natural entrance
201,45,Acropolis LE,PvT,4.10.1,12036,10305,22341,0.5387,0.4613,Pillar can see natural entrance
202,47,Acropolis LE,PvZ,4.10.1,10958,11488,22446,0.4882,0.5118,Pillar can see natural entrance
203,49,Acropolis LE,TvZ,4.10.1,12872,12403,25275,0.5093,0.4907,Pillar can see natural entrance
204,150,Cyber Forest LE,PvT,4.10.1,371,344,715,0.5189,0.4811,Pillar can see natural entrance
205,153,Cyber Forest LE,PvZ,4.10.1,371,419,790,0.4696,0.5304,Pillar can see natural entrance
206,156,Cyber Forest LE,TvZ,4.10.1,459,424,883,0.5198,0.4802,Pillar can see natural entrance
207,177,Disco Bloodbath LE,PvT,4.10.1,8909,7723,16632,0.5357,0.4643,Pillar cannot see natural entrance
208,178,Disco Bloodbath LE,PvZ,4.10.1,8188,8356,16544,0.4949,0.5051,Pillar cannot see natural entrance
209,179,Disco Bloodbath LE,TvZ,4.10.1,9904,8679,18583,0.533,0.467,Pillar cannot see natural entrance
210,195,Ephemeron LE,PvT,4.10.1,21984,19456,41440,0.5305,0.4695,Pillar can see natural entrance
211,197,Ephemeron LE,PvZ,4.10.1,18890,19949,38839,0.4864,0.5136,Pillar can see natural entrance
212,199,Ephemeron LE,TvZ,4.10.1,22325,20712,43037,0.5187,0.4813,Pillar can see natural entrance
213,201,Eternal Empire LE,PvT,4.10.1,9653,8780,18433,0.5237,0.4763,Pillar can see natural entrance
214,204,Eternal Empire LE,PvZ,4.10.1,8014,8394,16408,0.4884,0.5116,Pillar can see natural entrance
215,207,Eternal Empire LE,TvZ,4.10.1,9742,8601,18343,0.5311,0.4689,Pillar can see natural entrance
216,249,Kairos Junction LE,PvT,4.10.1,452,412,864,0.5231,0.4769,Pillar can see natural entrance
217,252,Kairos Junction LE,PvZ,4.10.1,373,399,772,0.4832,0.5168,Pillar can see natural entrance
218,255,Kairos Junction LE,TvZ,4.10.1,522,473,995,0.5246,0.4754,Pillar can see natural entrance
219,258,King's Cove LE,PvT,4.10.1,372,365,737,0.5047,0.4953,Pillar can see natural entrance
220,261,King's Cove LE,PvZ,4.10.1,318,363,681,0.467,0.533,Pillar can see natural entrance
221,264,King's Cove LE,TvZ,4.10.1,525,466,991,0.5298,0.4702,Pillar can see natural entrance
222,291,New Repugnancy LE,PvT,4.10.1,435,349,784,0.5548,0.4452,Pillar can see natural entrance
223,294,New Repugnancy LE,PvZ,4.10.1,347,402,749,0.4633,0.5367,Pillar can see natural entrance
224,297,New Repugnancy LE,TvZ,4.10.1,515,466,981,0.525,0.475,Pillar can see natural entrance
225,309,Nightshade LE,PvT,4.10.1,9727,8570,18297,0.5316,0.4684,Pillar can see natural entrance
226,311,Nightshade LE,PvZ,4.10.1,8277,8894,17171,0.482,0.518,Pillar can see natural entrance
227,313,Nightshade LE,TvZ,4.10.1,10192,8884,19076,0.5343,0.4657,Pillar can see natural entrance
228,387,Simulacrum LE,PvT,4.10.1,10496,9341,19837,0.5291,0.4709,Pillar can see natural entrance
229,389,Simulacrum LE,PvZ,4.10.1,9207,10064,19271,0.4778,0.5222,Pillar can see natural entrance
230,391,Simulacrum LE,TvZ,4.10.1,10646,10133,20779,0.5123,0.4877,Pillar can see natural entrance
231,402,Thunderbird LE,PvT,4.10.1,9418,7755,17173,0.5484,0.4516,Pillar cannot see natural entrance
232,404,Thunderbird LE,PvZ,4.10.1,8055,7935,15990,0.5038,0.4962,Pillar cannot see natural entrance
233,406,Thunderbird LE,TvZ,4.10.1,9377,8475,17852,0.5253,0.4747,Pillar cannot see natural entrance
234,408,Triton LE,PvT,4.10.1,20665,17378,38043,0.5432,0.4568,Pillar can see natural entrance
235,410,Triton LE,PvZ,4.10.1,17928,19464,37392,0.4795,0.5205,Pillar can see natural entrance
236,412,Triton LE,TvZ,4.10.1,21517,20144,41661,0.5165,0.4835,Pillar can see natural entrance
237,414,Turbo Cruise '84 LE,PvT,4.10.1,242,215,457,0.5295,0.4705,Pillar can see natural entrance
238,416,Turbo Cruise '84 LE,PvZ,4.10.1,190,210,400,0.475,0.525,Pillar can see natural entrance
